iter	Passed	Remaining
0	186	37063
1	228	22614
2	266	17500
3	307	15062
4	344	13445
5	384	12446
6	428	11809
7	467	11231
8	509	10807
9	549	10446
10	592	10183
11	635	9959
12	683	9828
13	727	9664
14	778	9599
15	822	9455
16	865	9317
17	913	9240
18	962	9170
19	1005	9047
20	1047	8931
21	1094	8853
22	1139	8772
23	1185	8692
24	1230	8615
25	1279	8566
26	1328	8511
27	1374	8444
28	1421	8382
29	1464	8298
30	1509	8228
31	1556	8169
32	1599	8096
33	1644	8030
34	1686	7952
35	1731	7886
36	1777	7830
37	1826	7788
38	1873	7735
39	1923	7695
40	1969	7638
41	2015	7583
42	2059	7519
43	2102	7452
44	2149	7405
45	2197	7355
46	2245	7309
47	2292	7258
48	2345	7226
49	2403	7209
50	2455	7174
51	2504	7126
52	2550	7073
53	2592	7010
54	2636	6949
55	2682	6897
56	2713	6806
57	2754	6744
58	2801	6694
59	2847	6644
60	2892	6590
61	2936	6535
62	2983	6488
63	3029	6438
64	3072	6380
65	3116	6327
66	3160	6273
67	3202	6215
68	3240	6151
69	3281	6094
70	3325	6042
71	3370	5992
72	3410	5934
73	3450	5875
74	3492	5821
75	3533	5764
76	3575	5710
77	3615	5654
78	3654	5597
79	3697	5546
80	3736	5489
81	3779	5438
82	3820	5385
83	3859	5330
84	3900	5276
85	3948	5234
86	3988	5180
87	4029	5128
88	4069	5074
89	4110	5023
90	4150	4971
91	4191	4920
92	4231	4868
93	4273	4819
94	4315	4769
95	4354	4717
96	4396	4668
97	4438	4619
98	4480	4571
99	4522	4522
100	4564	4474
101	4605	4425
102	4645	4375
103	4688	4327
104	4728	4277
105	4771	4230
106	4815	4185
107	4861	4140
108	4906	4095
109	4950	4050
110	4995	4005
111	5039	3959
112	5083	3914
113	5128	3868
114	5174	3824
115	5217	3778
116	5268	3737
117	5315	3694
118	5370	3655
119	5412	3608
120	5451	3559
121	5492	3511
122	5534	3464
123	5575	3417
124	5619	3371
125	5662	3325
126	5703	3278
127	5746	3232
128	5785	3184
129	5826	3137
130	5868	3091
131	5911	3045
132	5950	2997
133	6001	2955
134	6045	2910
135	6089	2865
136	6134	2820
137	6180	2776
138	6225	2732
139	6274	2688
140	6320	2644
141	6367	2600
142	6410	2555
143	6456	2511
144	6502	2466
145	6556	2424
146	6600	2379
147	6644	2334
148	6688	2289
149	6732	2244
150	6774	2198
151	6820	2153
152	6862	2108
153	6904	2062
154	6944	2016
155	6987	1970
156	7026	1924
157	7070	1879
158	7112	1834
159	7154	1788
160	7195	1743
161	7237	1697
162	7281	1652
163	7324	1607
164	7388	1567
165	7471	1530
166	7522	1486
167	7568	1441
168	7613	1396
169	7657	1351
170	7703	1306
171	7747	1261
172	7792	1216
173	7838	1171
174	7880	1125
175	7922	1080
176	7962	1034
177	8008	989
178	8051	944
179	8094	899
180	8138	854
181	8180	809
182	8221	763
183	8264	718
184	8311	673
185	8354	628
186	8400	583
187	8443	538
188	8485	493
189	8528	448
190	8569	403
191	8609	358
192	8648	313
193	8695	268
194	8738	224
195	8779	179
196	8821	134
197	8860	89
198	8901	44
199	8942	0
