iter	Passed	Remaining
0	21	21841
1	44	22156
2	69	23064
3	92	23037
4	115	23026
5	139	23110
6	161	22853
7	183	22809
8	205	22682
9	229	22696
10	251	22579
11	273	22536
12	296	22525
13	318	22410
14	343	22556
15	367	22572
16	391	22620
17	416	22711
18	437	22594
19	459	22532
20	479	22369
21	501	22285
22	523	22243
23	544	22152
24	567	22118
25	592	22213
26	616	22206
27	639	22195
28	663	22206
29	684	22148
30	711	22241
31	733	22186
32	755	22134
33	775	22028
34	797	21992
35	820	21982
36	842	21922
37	863	21854
38	885	21814
39	907	21778
40	928	21721
41	950	21673
42	973	21675
43	996	21661
44	1018	21617
45	1041	21608
46	1065	21610
47	1088	21598
48	1110	21557
49	1133	21530
50	1154	21476
51	1176	21440
52	1200	21448
53	1224	21455
54	1247	21436
55	1270	21408
56	1290	21356
57	1311	21303
58	1333	21276
59	1360	21315
60	1387	21359
61	1411	21354
62	1437	21383
63	1461	21376
64	1482	21323
65	1507	21326
66	1528	21287
67	1549	21232
68	1571	21203
69	1594	21180
70	1615	21144
71	1637	21110
72	1659	21078
73	1681	21045
74	1701	20986
75	1722	20943
76	1746	20938
77	1769	20916
78	1791	20887
79	1813	20853
80	1834	20812
81	1855	20772
82	1878	20754
83	1900	20724
84	1922	20698
85	1944	20662
86	1967	20643
87	1988	20608
88	2013	20610
89	2035	20582
90	2056	20542
91	2081	20541
92	2102	20502
93	2123	20465
94	2145	20437
95	2166	20402
96	2188	20375
97	2211	20353
98	2233	20328
99	2256	20304
100	2278	20278
101	2300	20255
102	2322	20222
103	2343	20192
104	2369	20196
105	2397	20219
106	2422	20217
107	2447	20211
108	2468	20177
109	2491	20157
110	2514	20140
111	2534	20098
112	2556	20066
113	2577	20035
114	2598	20000
115	2620	19973
116	2639	19923
117	2662	19903
118	2683	19865
119	2703	19824
120	2725	19798
121	2747	19772
122	2770	19756
123	2791	19720
124	2814	19703
125	2836	19675
126	2859	19653
127	2880	19622
128	2903	19604
129	2926	19586
130	2948	19558
131	2969	19528
132	2991	19500
133	3011	19463
134	3034	19442
135	3055	19413
136	3078	19391
137	3099	19361
138	3121	19333
139	3145	19321
140	3166	19292
141	3187	19262
142	3211	19245
143	3231	19210
144	3253	19186
145	3277	19171
146	3299	19145
147	3320	19117
148	3342	19091
149	3368	19088
150	3396	19097
151	3420	19082
152	3445	19071
153	3469	19057
154	3492	19037
155	3513	19006
156	3535	18983
157	3558	18964
158	3584	18958
159	3606	18935
160	3627	18904
161	3649	18877
162	3674	18869
163	3696	18844
164	3717	18814
165	3738	18785
166	3759	18750
167	3781	18726
168	3804	18708
169	3826	18680
170	3847	18652
171	3868	18624
172	3891	18602
173	3913	18576
174	3936	18555
175	3958	18533
176	3981	18514
177	4004	18494
178	4026	18467
179	4049	18446
180	4071	18424
181	4095	18407
182	4121	18398
183	4143	18375
184	4165	18349
185	4187	18326
186	4209	18300
187	4230	18273
188	4253	18251
189	4274	18221
190	4298	18205
191	4323	18193
192	4346	18174
193	4374	18172
194	4403	18178
195	4426	18159
196	4453	18151
197	4473	18121
198	4495	18094
199	4518	18073
200	4539	18046
201	4565	18037
202	4586	18007
203	4608	17984
204	4631	17962
205	4653	17936
206	4676	17914
207	4700	17897
208	4722	17871
209	4744	17849
210	4766	17823
211	4787	17796
212	4812	17780
213	4836	17762
214	4857	17734
215	4880	17714
216	4902	17690
217	4924	17663
218	4947	17645
219	4969	17619
220	4992	17597
221	5015	17576
222	5037	17550
223	5059	17527
224	5082	17507
225	5104	17482
226	5126	17457
227	5148	17433
228	5170	17409
229	5194	17390
230	5216	17364
231	5237	17338
232	5262	17322
233	5285	17300
234	5306	17275
235	5327	17247
236	5354	17238
237	5381	17229
238	5406	17214
239	5431	17201
240	5455	17181
241	5478	17158
242	5500	17135
243	5522	17109
244	5544	17086
245	5566	17062
246	5590	17042
247	5613	17022
248	5634	16995
249	5658	16974
250	5680	16951
251	5702	16926
252	5726	16906
253	5748	16884
254	5772	16865
255	5797	16847
256	5819	16825
257	5845	16812
258	5876	16812
259	5902	16799
260	5928	16785
261	5955	16776
262	5980	16758
263	6012	16763
264	6038	16749
265	6063	16731
266	6089	16718
267	6115	16704
268	6142	16691
269	6167	16673
270	6195	16666
271	6221	16651
272	6246	16634
273	6271	16616
